Session Number,Session Date,Module,Session Name,Description,NCF Competency,Recording,GitHub,Demonstration,Presentation,Notebook
1,22/04/2025,N/A,Nectar Re-Launch,Showcasing the re-launch of Code Club,,,https://github.com/NHS-South-Central-and-West/nectar_presentation,x,x,
2,01/05/2025,On-boarding, Python On-boarding,"What to install, basic virtual environment management, introduction to VS Code",SA21 : Python Proficiency,,,x,,
3,15/05/2025,On-boarding,Jupyter Notebooks,Demonstration of Jupyter Notebooks,SA21 : Python Proficiency,,,x,,x
4,29/05/2025,Exploration & Visualisation,EDA with Pandas,Introduction to exploratory data analysis using pandas,SA4 : Descriptive and Explicative Analytics,,,x,,x
5,12/06/2025,Exploration & Visualisation,Visualisation with Seaborn,Aesthetically-pleasing visualisations,SA1 : Data Visualisation,,,x,,x
6,03/07/2025,Exploration & Visualisation,EDA with Seaborn,Using seaborn to visualise and explore data,SA4 : Descriptive and Explicative Analytics,,,x,,x
7,17/07/2025,Core concepts,Data Types,Introduction to data types,SA21 : Python Proficiency,,,,x,x
8,31/07/2025,Core concepts,Control Flow,Introduction to control flow,SA21 : Python Proficiency,,,,x,x
9,14/08/2025,Core concepts,Functions & Functional Programming,Introduction to functions and functional programming,SA21 : Python Proficiency,,,,x,x
10,28/08/2025,Core concepts,Object-Oriented Programming,Introduction to object-oriented programming,SA21 : Python Proficiency,,,,x,x
11,11/09/2025,Exploration & Visualisation,Streamlit dashboards,How to present data (visualisations) in a Streamlit dashboard,SA1 : Data Visualisation,,,x,,
12,25/09/2025,Data Science,Comparing Samples,Understanding data distributions and comparisons between samples,SA4 : Descriptive and Explicative Analytics,,,,x,x
13,09/10/2025,Data Science,Analysing Relationships,Quantifying relationships with hypothesis tests and statistical significance,SA15 : Hypothesis Testing,,,,x,x
14,23/10/2025,Data Science,Introduction to Linear Regression,Introduction to regression concepts and the component parts of linear regression,SA7 : Advanced Statistics,,,,x,x
15,06/11/2025,Data Science,Implementing Linear Regression,"Building linear models, assessing model fit, and interpreting coefficients",SA7 : Advanced Statistics,,,x,x,x
16,20/11/2025,Data Science,Beyond Linearity,Introduction to generalised linear regression models,SA7 : Advanced Statistics,,,x,x,x
17,04/12/2025,Tools,Git and GitHub,Source control and collaboration,DEC6 / DSC6: Programming,,,,,
18,18/12/2025,Tools,Quarto,"Reproducible reports, documents and websites",SA13: Data Automation,,,,,
19,08/01/2026,Intermediate Python,Webscraping and APIs,"How to use these techniques to import data in an automatic, programmatic way from the web",SA13: Data Automation,,,,,
20,22/01/2026,Machine Learning,Introduction to Machine Learning,Demystifying the concept and introducing different kinds of models,SA12: Machine Learning,,,,,
21,05/02/2026,Machine Learning,Linear and Logistic Regression Machine Learning Models,A closer look at these models in a Machine Learning context,SA12: Machine Learning,,,,,
22,19/02/2026,Machine Learning,Machine Learning Workflows,What a typical end-to-end machine learning project workflow looks like,SA12: Machine Learning,,,,,
23,05/03/2026,Machine Learning,Unsupervised Machine Learning,When can this technique be useful and what are its shortcomings?,SA12: Machine Learning,,,,,
24,19/03/2026,Intermediate Python,Generators,"Pros, cons, practical applications",SA21 : Python Proficiency (Intermediate),,,,,
25,02/04/2026,Intermediate Python,Decorators,Modify or extend functions with simple syntax,SA21 : Python Proficiency (Intermediate),,,,,
26,16/04/2026,Intermediate Python,Asynchronous programming and callbacks,How to use and the differences between asynchronous and synchronous,SA21 : Python Proficiency (Intermediate),,,,,
27,30/04/2026,Intermediate Python,Higher order functions,"How to use functions within functions, and why",SA21 : Python Proficiency (Intermediate),,,,,
28,14/05/2026,Intermediate Python,"Map, filter, reduce",Extend your functional programming capabilities with these in-built higher order functions,SA21 : Python Proficiency (Advanced),,,,,
29,28/05/2026,Intermediate Python,"Logging, debugging, exception handling",How to handle exceptions and how to eliminate errors in your programs,SA21 : Python Proficiency (Advanced),,,,,
30,11/06/2026,Intermediate Python,Packages,How to build your own package,,,,,,
31,25/06/2026,Intermediate Python,Design patterns,"Using iterators, decorators, proxies and factories",SA21 : Python Proficiency (Advanced),,,,,
